Phase ID,Lifecycle Stage,Process Action,Standard Operating Procedure (SOP),RACI Matrix Role,Tech Stack,Critical KPI
P1,Discovery,Market Gap Analysis & Competitive Intelligence,Conduct systematic competitive landscape assessment using Porter's Five Forces framework; deploy social listening tools to identify unmet market needs; synthesize findings into executive briefing with win/loss analysis against primary competitors,Accountable: CMO | Responsible: Market Research Manager,Semrush | Brandwatch | SimilarWeb | Crunchbase,Market Gap Opportunity Score (0-100)
P2,Discovery,Customer Persona Development & Segmentation,Execute qualitative research (15+ stakeholder interviews); deploy quantitative surveys (n=500+); leverage CRM data to build psychographic/behavioral segments; document personas with 40+ data points each,Accountable: VP of Marketing | Responsible: Customer Insights Lead,Qualtrics | HubSpot | Mixpanel | SurveyMonkey,Persona Confidence Index (Statistical Significance at p<0.05)
P3,Discovery,Revenue Impact Modeling & Campaign ROI Projection,Build Monte Carlo simulation models (5,000+ iterations) to forecast campaign performance across channels; establish baseline metrics and control group benchmarks; calculate payback period and NPV,Accountable: Chief Revenue Officer | Responsible: Data Scientist,Tableau | Python (Scipy/NumPy) | BigQuery | Alteryx,ROI Projection Range (Confidence Interval at 95%)
P4,Strategy,Brand Messaging Framework & Value Proposition Architecture,Develop positioning matrix across 8+ message pillars; conduct messaging testing with 200+ respondents using MaxDiff analysis; create messaging guidelines document (50+ pages) with tone and deployment rules,Accountable: Chief Marketing Officer | Responsible: Brand Strategy Director,Brand24 | Typeform | Figma | Confluence,Message Resonance Score (0-10 Average)
P5,Strategy,Media Mix Modeling & Channel Allocation,Execute econometric modeling using 24+ months historical data; deploy attribution modeling (multi-touch) to calibrate incremental lift per channel; optimize budget allocation using linear programming,Accountable: VP of Demand Generation | Responsible: Marketing Analytics Manager,Nielsen MMM | Google Analytics 4 | Neustar Marketing Suite | Excel (Solver),Predicted ROI by Channel ($ per $1 Spent)
P6,Strategy,Campaign Architecture & Timeline Roadmap,Design phased campaign launch strategy (pre-launch → launch → sustain → scale); build 18-month Gantt chart with 200+ dependencies; establish stakeholder governance cadence (weekly steering committee),Accountable: Senior Campaign Manager | Responsible: Program Manager,Asana | Monday.com | Microsoft Project | Miro,Schedule Adherence Index (% On-Time Delivery)
P7,Creative,Campaign Creative Brief Development,Generate comprehensive creative brief (30+ pages) aligned to messaging framework; include success criteria, legal/compliance guardrails, and brand safety guidelines; obtain sign-off from Legal and Brand teams,Accountable: Creative Director | Responsible: Copywriter,Google Docs | Brand Central | Figma | ShareFile,Creative Brief Approval Rate (% First-Pass Approval)
P8,Creative,Multi-Format Creative Production (Digital/Video/Print),Produce 15+ creative executions across formats; deploy A/B testing framework (minimum 3 variants per channel); conduct quality assurance (QA) audit against brand guidelines and legal compliance,Accountable: VP Creative Services | Responsible: Art Director,Adobe Creative Suite | Frame.io | InVision | Wistia,Creative Production Velocity (Assets Produced per Week)
P9,Creative,Landing Page Development & Conversion Optimization,Build responsive landing pages with modular component architecture; implement VWO optimization framework with 50+ elements tested; achieve target conversion rate benchmarks (2-5% baseline),Accountable: VP of Conversion | Responsible: UX Designer,Unbounce | Instapage | Optimizely | Figma,Landing Page Conversion Rate (%)
P10,Creative,Compliance Review & Legal Clearance Protocol,Execute full legal review (claims substantiation, IP clearance, regulatory compliance); obtain CPO sign-off; document audit trail for compliance records; prepare contingency creative if needed,Accountable: General Counsel | Responsible: Compliance Officer,DocuSign | Sharepoint | eSignal | Everbridge,Compliance Clearance Cycle Time (Days to Approval)
